"department","publisher","books","percent"
"Political Science","Biteback Publishing",1,0.03687315634218289
"Political Science","New York University Press",12,0.4424778761061947
"Political Science","Columbia University Press",21,0.7743362831858407
"Political Science","Polity Press",30,1.1061946902654867
"Political Science","Rowman & Littlefield",16,0.5899705014749262
"Political Science","Lynne Rienner Publishers",8,0.2949852507374631
"Political Science","Continuum",6,0.22123893805309736
"Political Science","Oxford Higher Education",11,0.4056047197640118
"Political Science","W. de Gruyter",1,0.03687315634218289
"Political Science","Norton",10,0.3687315634218289
"Political Science","Croom Helm",1,0.03687315634218289
"Political Science","B. Blackwell",6,0.22123893805309736
"Political Science","Cornell University Press",26,0.9587020648967551
"Political Science","Frank Cass",5,0.18436578171091444
"Political Science","Springer",16,0.5899705014749262
"Political Science","Routledge-Cavendish",2,0.07374631268436578
"Political Science","John Harper",1,0.03687315634218289
"Political Science","Rowman & Littlefield Publishers",3,0.11061946902654868
"Political Science","Ashgate",15,0.5530973451327433
"Political Science","Oxfam International",3,0.11061946902654868
"Political Science","Zed Books",35,1.2905604719764012
"Political Science","Zed",4,0.14749262536873156
"Political Science","Open University in association with Oxford University Press",1,0.03687315634218289
"Political Science","Penguin Press",1,0.03687315634218289
"Political Science","W.W. Norton",10,0.3687315634218289
"Political Science","Kumarian Press",2,0.07374631268436578
"Political Science","University Press",2,0.07374631268436578
"Political Science","Verso",2,0.07374631268436578
"Political Science","University of Chicago Press",31,1.1430678466076696
"Political Science","Penguin",5,0.18436578171091444
"Political Science","University of California Press",21,0.7743362831858407
"Political Science","Earthscan",2,0.07374631268436578
"Political Science","Princeton University Press",97,3.5766961651917404
"Political Science","Random House Trade Paperbacks",1,0.03687315634218289
"Political Science","Brookings Institution Press",2,0.07374631268436578
"Political Science","McGraw-Hill",7,0.2581120943952802
"Political Science","Stanford University Press",5,0.18436578171091444
"Political Science","Taylor & Francis Ltd",8,0.2949852507374631
"Political Science","Blackwell Pub",11,0.4056047197640118
"Political Science","Prentice Hall",7,0.2581120943952802
"Political Science","Polity Press in association with the Open University",1,0.03687315634218289
"Political Science","Berg Publishers",1,0.03687315634218289
"Political Science","Policy",3,0.11061946902654868
"Political Science","Indiana University Press",3,0.11061946902654868
"Political Science","W.W. Norton & Co",33,1.2168141592920354
"Political Science","Houghton Mifflin",3,0.11061946902654868
"Political Science","HarperCollins",2,0.07374631268436578
"Political Science","Harvard University Press",36,1.3274336283185841
"Political Science","International IDEA",1,0.03687315634218289
"Political Science","Edward Elgar Publishing",3,0.11061946902654868
"Political Science","Wiley-Blackwell",10,0.3687315634218289
"Political Science","Pearson/Longman",2,0.07374631268436578
"Political Science","Pinter",1,0.03687315634218289
"Political Science","MIT Press",13,0.47935103244837757
"Political Science","Polity Press in association with Blackwell",2,0.07374631268436578
"Political Science","State University of New York Press",3,0.11061946902654868
"Political Science","Routlege",1,0.03687315634218289
"Political Science","Basic Books",15,0.5530973451327433
"Political Science","Vintage Books",4,0.14749262536873156
"Political Science","Penguin Books",5,0.18436578171091444
"Political Science","Perseus Pub",7,0.2581120943952802
"Political Science","Back Bay Books",2,0.07374631268436578
"Political Science","Profile Books",1,0.03687315634218289
"Political Science","United States Institute of Peace Press",7,0.2581120943952802
"Political Science","Lexington Books",1,0.03687315634218289
"Political Science","Edward Elgar Pub",8,0.2949852507374631
"Political Science","Free Press",3,0.11061946902654868
"Political Science","Aldine Transaction",1,0.03687315634218289
"Political Science","University of Chicago",1,0.03687315634218289
"Political Science","Allyn & Bacon Pearson",3,0.11061946902654868
"Political Science","UTP Higher Education",1,0.03687315634218289
"Political Science","Sage Publications, Inc",4,0.14749262536873156
"Political Science","Sage Publications Ltd",11,0.4056047197640118
"Political Science","Prentice-Hall",6,0.22123893805309736
"Political Science","Brookings Institution",7,0.2581120943952802
"Political Science","Georgetown University Press",5,0.18436578171091444
"Political Science","McGill-Queen's University Press",2,0.07374631268436578
"Political Science","Open University Press",5,0.18436578171091444
"Political Science","Pine Forge",1,0.03687315634218289
"Political Science","M.E. Sharpe",5,0.18436578171091444
"Political Science","Elsevier",1,0.03687315634218289
"Political Science","Thomson/Wadsworth",10,0.3687315634218289
"Political Science","Sage Pub",1,0.03687315634218289
"Political Science","Rowman & Littlefield Publishers, Inc",2,0.07374631268436578
"Political Science","McGraw Hill Higher Education",2,0.07374631268436578
"Political Science","G. Allen & Unwin",1,0.03687315634218289
"Political Science","McGraw-Hill Higher Education",1,0.03687315634218289
"Political Science","Wiley",5,0.18436578171091444
"Political Science","Academic Press",1,0.03687315634218289
"Political Science","Blackwell Publishers",6,0.22123893805309736
"Political Science","Simon & Schuster",1,0.03687315634218289
"Political Science","Temple University Press",3,0.11061946902654868
"Political Science","Routledge in association with the Secretariat of the European Parliament",1,0.03687315634218289
"Political Science","Fontana",6,0.22123893805309736
"Political Science","Butterworths",5,0.18436578171091444
"Political Science","Paradigm Publishers",2,0.07374631268436578
"Political Science","Belknap Press",2,0.07374631268436578
"Political Science","Duckworth",6,0.22123893805309736
"Political Science","Humanities Press International",1,0.03687315634218289
"Political Science","Athlone",1,0.03687315634218289
"Political Science","Cambridge Universtiy Press",7,0.2581120943952802
"Political Science","Ohio University Press",1,0.03687315634218289
"Political Science","University of Notre Dame Press",1,0.03687315634218289
"Political Science","M. Nijhoff",6,0.22123893805309736
"Political Science","Methuen",3,0.11061946902654868
"Political Science","Polity Press in association with Blackwell Publishers",8,0.2949852507374631
"Political Science","Duke University Press",1,0.03687315634218289
"Political Science","Pennsylvania State University Press",1,0.03687315634218289
"Political Science","Hackett Pub",1,0.03687315634218289
"Political Science","The University of Chicago Press",10,0.3687315634218289
"Political Science","Harvard Business School Press",1,0.03687315634218289
"Political Science","Politicos",1,0.03687315634218289
"Political Science","Sweet & Maxwell",9,0.33185840707964603
"Political Science","Politicos Pub",1,0.03687315634218289
"Political Science","Constable and Robinson",1,0.03687315634218289
"Political Science","Chatham House",1,0.03687315634218289
"Political Science","W. W. Norton & Company",4,0.14749262536873156
"Political Science","Intersentia",2,0.07374631268436578
"Political Science","University of Pennsylvania Press",6,0.22123893805309736
"Political Science","Transnational Publishers",3,0.11061946902654868
"Political Science","F. Cass",6,0.22123893805309736
"Political Science","University of Michigan Press",5,0.18436578171091444
"Political Science","University of Pittsburgh Press",3,0.11061946902654868
"Political Science","Ohio State University Press",7,0.2581120943952802
"Political Science","Congressional Quarterly",6,0.22123893805309736
"Political Science","Nijhoff",1,0.03687315634218289
"Political Science","Brill",2,0.07374631268436578
"Political Science","Kluwer Law International",1,0.03687315634218289
"Political Science","Pluto",1,0.03687315634218289
"Political Science","Pluto Press",1,0.03687315634218289
"Political Science","Pine Forge Press",1,0.03687315634218289
"Political Science","Basil Blackwell",3,0.11061946902654868
"Political Science","Paragon House Publishers",3,0.11061946902654868
"Political Science","Stata Press",1,0.03687315634218289
"Political Science","Foundation Press",1,0.03687315634218289
"Political Science","United Nations University Press",2,0.07374631268436578
"Political Science","Belknap Press of Harvard University Press",5,0.18436578171091444
"Department of Information Studies","Sage",12,1.9801980198019802
"Department of Information Studies","Sage Publications",13,2.145214521452145
"Department of Information Studies","Sage Publications, Inc",4,0.6600660066006601
"Department of Information Studies","Allen & Unwin",1,0.16501650165016502
"Department of Information Studies","Routledge",51,8.415841584158416
"Department of Information Studies","Pearson/Allyn and Bacon",1,0.16501650165016502
"Department of Information Studies","Facet Publishing",51,8.415841584158416
"Department of Information Studies","Sage Publications Ltd",6,0.9900990099009901
"Department of Information Studies","Cambridge University Press",9,1.4851485148514851
"Department of Information Studies","Clarendon Press",5,0.8250825082508251
"Department of Information Studies","H.M.S.O",1,0.16501650165016502
"Department of Information Studies","Palgrave Macmillan",7,1.155115511551155
"Department of Information Studies","Oxford University Press",12,1.9801980198019802
"Department of Information Studies","Rowman & Littlefield",1,0.16501650165016502
"Department of Information Studies","Continuum",1,0.16501650165016502
"Department of Information Studies","Oxford University Press, USA",1,0.16501650165016502
"Department of Information Studies","Teachers College Press",1,0.16501650165016502
"Department of Information Studies","Library Association Publishing (UK)",2,0.33003300330033003
"Department of Information Studies","Libraries Unlimited",21,3.4653465346534653
"Department of Information Studies","Longman",4,0.6600660066006601
"Department of Information Studies","Australian Society of Archivists Inc",1,0.16501650165016502
"Department of Information Studies","University of Chicago Press",9,1.4851485148514851
"Department of Information Studies","Dawson",1,0.16501650165016502
"Department of Information Studies","Thorpe Bowker",1,0.16501650165016502
"Department of Information Studies","Charles Sturt University, Centre for Information Studies",5,0.8250825082508251
"Department of Information Studies","Society of American Archivists",26,4.29042904290429
"Department of Information Studies","Neal-Schuman Publishers",27,4.455445544554456
"Department of Information Studies","Chandos Publishing (Oxford) Ltd",5,0.8250825082508251
"Department of Information Studies","Woodhead-Chandos",1,0.16501650165016502
"Department of Information Studies","Ashgate",19,3.1353135313531353
"Department of Information Studies","University of Toronto Press",2,0.33003300330033003
"Department of Information Studies","Pluto",2,0.33003300330033003
"Department of Information Studies","Published for the British Academy by Oxford University Press",1,0.16501650165016502
"Department of Information Studies","Butterworth-Heinemann",4,0.6600660066006601
"Department of Information Studies","Liverpool University Centre for Archive Studies",3,0.49504950495049505
"Department of Information Studies","Society of Archivists",5,0.8250825082508251
"Department of Information Studies","Gower",14,2.31023102310231
"Department of Information Studies","Society of Amer Archivists",3,0.49504950495049505
"Department of Information Studies","Swedish National Archives",2,0.33003300330033003
"Department of Information Studies","Bureau of Canadian Archivists, Planning Committee on Descriptive Standards",1,0.16501650165016502
"Department of Information Studies","K.G. Saur",4,0.6600660066006601
"Department of Information Studies","Bureau of Canadian Archivists",1,0.16501650165016502
"Department of Information Studies","Aslib",13,2.145214521452145
"Department of Information Studies","Haworth Information Press",4,0.6600660066006601
"Department of Information Studies","Bowker-Saur",2,0.33003300330033003
"Department of Information Studies","Scarecrow Press",12,1.9801980198019802
"Department of Information Studies","American Library Association",10,1.6501650165016502
"Department of Information Studies","Library Association",5,0.8250825082508251
"Department of Information Studies","Addison-Wesley",5,0.8250825082508251
"Department of Information Studies","Chandos",9,1.4851485148514851
"Department of Information Studies","O'Reilly",12,1.9801980198019802
"Department of Information Studies","McGraw-Hill",3,0.49504950495049505
"Department of Information Studies","Prentice Hall",5,0.8250825082508251
"Department of Information Studies","Macmillan",4,0.6600660066006601
"Department of Information Studies","Cengage Learning Business Press",2,0.33003300330033003
"Department of Information Studies","Blackwell Publishers",6,0.9900990099009901
"Department of Information Studies","Ashgate Pub Co",1,0.16501650165016502
"Department of Information Studies","Open Book Publishers",1,0.16501650165016502
"Department of Information Studies","University of Illinois Press",1,0.16501650165016502
"Department of Information Studies","University of Pennsylvania Press",1,0.16501650165016502
"Department of Information Studies","The MIT Press",2,0.33003300330033003
"Department of Information Studies","Facet",11,1.8151815181518152
"Department of Information Studies","MIT Press",8,1.3201320132013201
"Department of Information Studies","Kluwer Academic Publishers",3,0.49504950495049505
"Department of Information Studies","Metropolitan New York Library Council",1,0.16501650165016502
"Department of Information Studies","Pearson Prentice Hall",1,0.16501650165016502
"Department of Information Studies","Wiley",8,1.3201320132013201
"Department of Information Studies","Wiley-Blackwell",3,0.49504950495049505
"Department of Information Studies","B. Blackwell",1,0.16501650165016502
"Department of Information Studies","Stanford University Press",1,0.16501650165016502
"Department of Information Studies","New Riders",1,0.16501650165016502
"Department of Information Studies","Pogue Press",1,0.16501650165016502
"Department of Information Studies","Basic Books",2,0.33003300330033003
"Department of Information Studies","APress",1,0.16501650165016502
"Department of Information Studies","Peachpit Press",6,0.9900990099009901
"Department of Information Studies","Kogan Page",6,0.9900990099009901
"Department of Information Studies","Harvard University Press",1,0.16501650165016502
"Department of Information Studies","Academic Press",2,0.33003300330033003
"Department of Information Studies","Polity Press",2,0.33003300330033003
"Department of Information Studies","FT Press",1,0.16501650165016502
"Department of Information Studies","Gower Publishing Company",2,0.33003300330033003
"Department of Information Studies","Library Assn Pub Ltd",6,0.9900990099009901
"Department of Information Studies","Neal Schuman Publishers",3,0.49504950495049505
"Department of Information Studies","Arrow Business Books",1,0.16501650165016502
"Department of Information Studies","Pitman",5,0.8250825082508251
"Department of Information Studies","Gower Pub. Co",1,0.16501650165016502
"Department of Information Studies","Int. Thomson Business Press",1,0.16501650165016502
"Department of Information Studies","Financial Times Prentice Hall",1,0.16501650165016502
"Department of Information Studies","Harvard Business School Press",2,0.33003300330033003
"Department of Information Studies","J. Wiley & Sons, Inc",1,0.16501650165016502
"Department of Information Studies","Facet Pub",4,0.6600660066006601
"Department of Information Studies","AsLib/IMI",1,0.16501650165016502
"Department of Information Studies","Pearson Education, Inc",1,0.16501650165016502
"Department of Information Studies","Jossey-Bass",1,0.16501650165016502
"Department of Information Studies","Aslib Gower",2,0.33003300330033003
"Department of Information Studies","ARMA International",7,1.155115511551155
"Department of Information Studies","Fontana",1,0.16501650165016502
"Department of Information Studies","Library Association Publishing",1,0.16501650165016502
"Department of Information Studies","FT Prentice Hall",2,0.33003300330033003
"Department of Information Studies","Simon & Schuster",1,0.16501650165016502
"Department of Information Studies","South-Western Pub. Co",1,0.16501650165016502
"Department of Information Studies","Greenwood Press",1,0.16501650165016502
"Department of Information Studies","Chandos Publishing",1,0.16501650165016502
"Department of Information Studies","International Records Management Trust",2,0.33003300330033003
"Department of Information Studies","Litwin Books",1,0.16501650165016502
"Department of Information Studies","Riksarkivet",1,0.16501650165016502
"Department of Information Studies","Ashgate Pub",1,0.16501650165016502
"Department of Information Studies","Quorum Books",3,0.49504950495049505
"Department of Information Studies","McFarland",3,0.49504950495049505
"Department of Information Studies","Australian Society of Archivists",1,0.16501650165016502
"Department of Information Studies","Morgan Kaufmann",1,0.16501650165016502
"Department of Information Studies","Penguin Books",2,0.33003300330033003
"Department of Information Studies","Glencoe/McGraw-Hill",1,0.16501650165016502
"Department of Information Studies","Wiley-IEEE Computer Society Pr",1,0.16501650165016502
"Department of Information Studies","Wiley Pub",1,0.16501650165016502
"Department of Information Studies","Granta Books",2,0.33003300330033003
"Department of Information Studies","Polity",4,0.6600660066006601
"Department of Information Studies","W.W. Norton",1,0.16501650165016502
"Department of Information Studies","British Library",1,0.16501650165016502
"Department of Information Studies","PublicAffairs",3,0.49504950495049505
"Department of Information Studies","Springer",4,0.6600660066006601
"Department of Information Studies","Kogan Page Ltd",1,0.16501650165016502
"Department of Information Studies","AltaMira Press",9,1.4851485148514851
"Department of Information Studies","Open University Press",2,0.33003300330033003
"Department of Information Studies","Penguin",1,0.16501650165016502
"Department of Information Studies","State University of New York Press",1,0.16501650165016502
"Department of Information Studies","Pantheon Books",2,0.33003300330033003
"Department of Information Studies","American Association for State and Local History",1,0.16501650165016502
"Department of Information Studies","American Association for State and Local History in cooperation with the Oral History Association",6,0.9900990099009901
"Department of Information Studies","University of Kwazulu Natal Press",2,0.33003300330033003
"Department of Information Studies","Temple University Press",2,0.33003300330033003
"Institute of Archaeology","Clarendon Press",45,0.6654835847382431
"Institute of Archaeology","Blackwell Pub",37,0.5471753918958888
"Institute of Archaeology","Oxford University Press",189,2.7950310559006213
"Institute of Archaeology","Routledge",796,11.771665187814255
"Institute of Archaeology","Facts on File",13,0.1922508133688258
"Institute of Archaeology","Routledge in association with the Open University",7,0.10351966873706005
"Institute of Archaeology","Duckworth",72,1.064773735581189
"Institute of Archaeology","Viking",2,0.029577048210588583
"Institute of Archaeology","Croom Helm",6,0.08873114463176575
"Institute of Archaeology","Routledge & K. Paul",3,0.044365572315882874
"Institute of Archaeology","Fontana",7,0.10351966873706005
"Institute of Archaeology","Pluto Press",10,0.14788524105294293
"Institute of Archaeology","Tempus",60,0.8873114463176575
"Institute of Archaeology","Thames and Hudson",59,0.8725229222123632
"Institute of Archaeology","Harvard University Press",22,0.3253475303164744
"Institute of Archaeology","Wiley-Blackwell",90,1.3309671694764862
"Institute of Archaeology","University of California Press",108,1.5971606033717836
"Institute of Archaeology","Accordia Research Institute, University of London",7,0.10351966873706005
"Institute of Archaeology","B.T. Batsford",19,0.28098195800059156
"Institute of Archaeology","Published for the Trustees of the British Museum by British Museum Press",29,0.42886719905353443
"Institute of Archaeology","Longman",30,0.44365572315882873
"Institute of Archaeology","Shire",12,0.1774622892635315
"Institute of Archaeology","Seaby",35,0.5175983436853002
"Institute of Archaeology","Shire Publications",15,0.22182786157941436
"Institute of Archaeology","Cambridge University Press",692,10.23365868086365
"Institute of Archaeology","Council for British Archaeology",26,0.3845016267376516
"Institute of Archaeology","Colchester Archaeological Trust/C.B.A",3,0.044365572315882874
"Institute of Archaeology","Oxbow",61,0.9020999704229518
"Institute of Archaeology","Sutton",36,0.5323868677905945
"Institute of Archaeology","British Museum Press",98,1.4492753623188406
"Institute of Archaeology","Yale University Press",71,1.0499852114758947
"Institute of Archaeology","Avebury",7,0.10351966873706005
"Institute of Archaeology","Cotswold Studies at the Apple Loft",5,0.07394262052647146
"Institute of Archaeology","Batsford",30,0.44365572315882873
"Institute of Archaeology","David Brown Book Company",10,0.14788524105294293
"Institute of Archaeology","Oxbow Books Limited",29,0.42886719905353443
"Institute of Archaeology","Thames & Hudson",104,1.5380065069506064
"Institute of Archaeology","Tempus Publishing, Limited",4,0.059154096421177166
"Institute of Archaeology","Cambridge Univeristy Press",6,0.08873114463176575
"Institute of Archaeology","School of Archaeological Studies, University of Leicester",2,0.029577048210588583
"Institute of Archaeology","British School at Rome",10,0.14788524105294293
"Institute of Archaeology","Johns Hopkins University Press",19,0.28098195800059156
"Institute of Archaeology","Oxbow Books",118,1.7450458444247263
"Institute of Archaeology","British Museum",23,0.3401360544217687
"Institute of Archaeology","H.M.S.O",2,0.029577048210588583
"Institute of Archaeology","Moneta",4,0.059154096421177166
"Institute of Archaeology","Princeton University Press",63,0.9316770186335404
"Institute of Archaeology","Journal of Roman Archaeology",10,0.14788524105294293
"Institute of Archaeology","Amsterdam University Press",6,0.08873114463176575
"Institute of Archaeology","Tempus Publishing Ltd",1,0.014788524105294291
"Institute of Archaeology","Weidenfeld Military",1,0.014788524105294291
"Institute of Archaeology","A & C Black",5,0.07394262052647146
"Institute of Archaeology","Phaidon",9,0.13309671694764863
"Institute of Archaeology","Aarhus University Press",14,0.2070393374741201
"Institute of Archaeology","Prentice Hall",4,0.059154096421177166
"Institute of Archaeology","University of Michigan Press",13,0.1922508133688258
"Institute of Archaeology","Brill Academic Publishers",50,0.7394262052647146
"Institute of Archaeology","Ashgate",15,0.22182786157941436
"Institute of Archaeology","Oxford University Committee for Archaeology",22,0.3253475303164744
"Institute of Archaeology","Geoffrey Chapman",2,0.029577048210588583
"Institute of Archaeology","Blackwell Publishers",35,0.5175983436853002
"Institute of Archaeology","University of North Carolina Press",12,0.1774622892635315
"Institute of Archaeology","P. �str�ms f�rlag",15,0.22182786157941436
"Institute of Archaeology","Schocken Books",1,0.014788524105294291
"Institute of Archaeology","Belknap Press of Harvard University Press",4,0.059154096421177166
"Institute of Archaeology","Leicester University Press",63,0.9316770186335404
"Institute of Archaeology","Tempus Pub Ltd",1,0.014788524105294291
"Institute of Archaeology","Left Coast Press",98,1.4492753623188406
"Institute of Archaeology","Macmillan",8,0.11830819284235433
"Institute of Archaeology","Penguin",11,0.1626737651582372
"Institute of Archaeology","W.W. Norton",1,0.014788524105294291
"Institute of Archaeology","Allen Lane",8,0.11830819284235433
"Institute of Archaeology","American School of Classical Studies at Athens",2,0.029577048210588583
"Institute of Archaeology","Vindolanda Trust",1,0.014788524105294291
"Institute of Archaeology","Noyes Press",2,0.029577048210588583
"Institute of Archaeology","Society for the Promotion of Roman Studies",4,0.059154096421177166
"Institute of Archaeology","Society of Antiquaries",2,0.029577048210588583
"Institute of Archaeology","English Heritage",24,0.354924578527063
"Institute of Archaeology","Israel Exploration Society",9,0.13309671694764863
"Institute of Archaeology","Oriental Institute of the University of Chicago",8,0.11830819284235433
"Institute of Archaeology","Indiana University Press",19,0.28098195800059156
"Institute of Archaeology","Society of Antiquaries of London",5,0.07394262052647146
"Institute of Archaeology","Institut fran�ais d'arch�ologie orientale",2,0.029577048210588583
"Institute of Archaeology","Buckinghamshire Archaeological Society",1,0.014788524105294291
"Institute of Archaeology","Vintage",4,0.059154096421177166
"Institute of Archaeology","Left Coast Press, Inc",32,0.4732327713694173
"Institute of Archaeology","The University of Chicago Press",9,0.13309671694764863
"Institute of Archaeology","Century",3,0.044365572315882874
"Institute of Archaeology","Weidenfeld & Nicolson",8,0.11830819284235433
"Institute of Archaeology","McGraw-Hill",3,0.044365572315882874
"Institute of Archaeology","Leiden Univ Pr",1,0.014788524105294291
"Institute of Archaeology","Geo",2,0.029577048210588583
"Institute of Archaeology","Springer",38,0.5619639160011831
"Institute of Archaeology","Peabody Museum of Archaeology and Ethnology, Harvard University",7,0.10351966873706005
"Institute of Archaeology","University of Arizona Press",41,0.606329488317066
"Institute of Archaeology","McDonald Institute for Archaeological Research",36,0.5323868677905945
"Institute of Archaeology","Greenwood Press",1,0.014788524105294291
"Institute of Archaeology","School of American Research Press",11,0.1626737651582372
"Institute of Archaeology","AltaMira Press",80,1.1830819284235434
"Institute of Archaeology","Norton",7,0.10351966873706005
"Institute of Archaeology","Blackwell",95,1.4049097900029577
"Institute of Archaeology","Prehistory Press",9,0.13309671694764863
